id,title,availability,condition,description,image_link,link,price,brand,google_product_category,item_group_id
10772,"SAFE BOX FOR SECURE STORAGE AL-36","in stock",New,,https://synnex.lk/wp-content/uploads/2026/04/1-1-2.png,https://synnex.lk/product/safe-box-for-secure-storage-al-36/,"45000.00 LKR",Products,,
10773,"SAFE BOX FOR SECURE STORAGE AL-50","in stock",New,,https://synnex.lk/wp-content/uploads/2026/04/1-1-3.jpg,https://synnex.lk/product/safe-box-for-secure-storage-al-50/,"60000.00 LKR",Products,,
10774,"SAFE BOX FOR SECURE STORAGE AL-70","in stock",New,,https://synnex.lk/wp-content/uploads/2026/04/1-3.jpg,https://synnex.lk/product/safe-box-for-secure-storage-al-70/,"88000.00 LKR",Products,,
10775,"BELDON – CORE i7 TOUCH POS MACHINE","out of stock",New,"The Core i7 Touch POS Machine Synnex IT Solutions is a premium all-in-one point-of-sale terminal built for demanding business environments. Featuring a high-speed Intel Core i7 processor, fast SSD storage, and responsive capacitive touch display, it delivers smooth and reliable performance. The dual screen setup (operator touch screen + customer-facing display) enhances customer interaction and transparency. Multiple USB, HDMI, Ethernet and COM ports make it easy to connect printers, scanners, cash drawers and other peripherals. Designed for durability and efficient operation, this POS machine is ideal for retail stores, restaurants, and service counters needing both speed and reliability.",https://synnex.lk/wp-content/uploads/2026/04/i7-single-touch-1.png,https://synnex.lk/product/beldon-core-i7-touch-pos-machine/,"210000.00 LKR",Products,,
10776,"BELDON – CORE i7 TOUCH POS MACHINE WITH CUSTOMER DISPLAY","out of stock",New,"The Core i7 Touch POS Machine Synnex IT Solutions with customer display is a premium all-in-one POS terminal designed for high-demand retail and hospitality environments. Powered by an Intel Core i7 processor and equipped with fast SSD storage and ample RAM, it delivers smooth performance under heavy load. The dual touch displays include a main screen for the operator and a secondary screen facing customers—ideal for transparency, promotions, and interactive billing. With multiple connectivity options (USB, Ethernet, serial), it supports accessories such as receipt printers, scanners, cash drawers, and more. Durable and efficient, this POS system makes checkouts smarter and more engaging.",https://synnex.lk/wp-content/uploads/2026/04/i7-pos-dual-touch-1.png,https://synnex.lk/product/beldon-core-i7-touch-pos-machine-with-customer-display/,"300000.00 LKR",Products,,
10777,"BELDON – CORE i7 TOUCH POS MACHINE WITH TOUCH CUSTOMER DISPLAY","out of stock",New,"The Core i7 Touch POS Machine Synnex IT Solutions is a high-performance all-in-one solution built for demanding retail and hospitality environments. Featuring an Intel Core i7 processor, ample RAM and SSD storage, it delivers fast, responsive performance under heavy use. The dual touch-screen setup includes a capacitive main display for the operator and a customer-facing touch display to enhance customer interaction. With multiple USB, Ethernet, and serial ports, you’ll have versatile connectivity for printers, barcode scanners, cash drawers, and other POS peripherals. This POS machine combines speed, durability, and user engagement in a single, stylish unit.",https://synnex.lk/wp-content/uploads/2026/04/i7-pos-dual-touch-1.png,https://synnex.lk/product/beldon-core-i7-touch-pos-machine-with-touch-customer-display/,"315000.00 LKR",Products,,
10778,"V8 CAMERA","in stock",New,,https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2025-09-30-at-10.03.21-e1759209754849-1.jpeg,https://synnex.lk/product/v8-camera/,"6000.00 LKR",Products,,
10779,Q93-H,"in stock",New,,https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2025-09-30-at-10.03.05-1.jpeg,https://synnex.lk/product/q93-h/,"6000.00 LKR",Products,,
10797,"Z7 CAM","in stock",New,,https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2025-09-30-at-10.02.21-1.jpeg,https://synnex.lk/product/z7-cam/,"5000.00 LKR",Products,,
10798,"BELDON-BN-HR07-3D 3D Face Recognition Smart Door Lock","out of stock",New,"The 3D Face Recognition Smart Door Lock BN-HR07-3D Synnex IT Solutions offers advanced biometric security with multiple access methods, including 3D facial recognition, fingerprint scanning, password input, and NFC card access. Designed for modern homes and offices, it features a sleek, durable build and integrates with the Tuya Smart app for remote management. The lock supports automatic locking, low battery alerts, and emergency power options, ensuring reliable performance. Ideal for those seeking a blend of advanced technology and convenience, the BN-HR07-3D enhances both security and user experience.",https://synnex.lk/wp-content/uploads/2026/04/3-1-2.png,https://synnex.lk/product/beldon-bn-hr07-3d-3d-face-recognition-smart-door-lock/,"50000.00 LKR",Products,,
10799,"BELDON-BN-B12 Glass Door Smart Fingerprint Lock","in stock",New,"The Glass Door Smart Fingerprint Lock BN‑B12 Synnex IT Solutions is designed for glass doors, offering advanced biometric security with multiple access methods, including fingerprint recognition, NFC card, and password input. It features a sleek, modern design that complements glass installations, ensuring both aesthetics and security. The lock supports Bluetooth connectivity via the Tuya Smart app, allowing for remote management and monitoring. Ideal for offices, retail spaces, and modern homes, the BN‑B12 combines convenience with cutting-edge technology to enhance access control and security.",https://synnex.lk/wp-content/uploads/2026/04/1-2-1.png,https://synnex.lk/product/beldon-bn-b12-glass-door-smart-fingerprint-lock/,"42000.00 LKR",Products,,
10800,"BELDON-BN-S61 3D Face Recognition Smart Door Lock","in stock",New,"🔐 SMART DOOR LOCK WITH 3D FACE RECOGNITION  🏷️BRAND - BELDON 📦MODEL - BN-S61 🛡️WARRANTY - 1 YEAR  SPECIFICATION 🔓UNLOCK WAYS 😎3D FACE RECOGNITION 👆 FINGERPRINT 💳 RFID CARD 🔢 PASSWORD 📱REMOTE ACCESS (TUYA APP) 🚨BUILT IN ALARM SYSTEM 🎥BUILT - IN CCTV CAMERA 🪙DURABLE METALLIC BODY",https://synnex.lk/wp-content/uploads/2026/04/3-4-1.png,https://synnex.lk/product/beldon-bn-s61-3d-face-recognition-smart-door-lock/,"75000.00 LKR",Products,,
10801,"BELDON-BN-L80 3D Face Recognition Smart Door Lock","in stock",New,"The 3D Face Recognition Smart Door Lock BN-L80 Synnex IT Solutions offers advanced biometric security with seamless access control. It features 3D facial recognition for fast, touch-free unlocking, along with fingerprint, password, and RFID card modes for alternate access. The lock stores multiple user profiles and usage logs for tracking who enters and when. Designed for durability and modern aesthetics, it fits standard door thicknesses and includes backup options like mechanical key or emergency power. Ideal for homes, offices, and smart buildings, the BN-L80 enhances security while giving you convenience at your doorstep.",https://synnex.lk/wp-content/uploads/2026/04/2-5-1.png,https://synnex.lk/product/beldon-bn-l80-3d-face-recognition-smart-door-lock/,"65000.00 LKR",Products,,
10802,"BELDON-BN-F-31 Fingerprint Smart Door Lock","in stock",New,"The Fingerprint Smart Door Lock BN-F-31 by BELDON offers a modern security solution featuring multiple access methods, including fingerprint recognition, NFC card, and password. It is categorized under biometrics and security solutions, making it suitable for enhancing entry control in homes or offices. The product is publicly available and has a favorable SEO score, indicating good visibility in search results. The release date is set for September 30, 2025, ensuring it is a recent addition to the market.  This product is positioned to meet contemporary security needs, making it a relevant choice for consumers looking for reliable access control systems.",https://synnex.lk/wp-content/uploads/2026/04/Untitled-design-91-1.png,https://synnex.lk/product/beldon-bn-f-31-fingerprint-smart-door-lock/,"32000.00 LKR",Products,,
10803,"BELDON-BN-S01 3D Face Recognition Smart Door Lock","in stock",New,"🔐 SMART DOOR LOCK WITH 3D FACE RECOGNITION  🏷️BRAND - BELDON 📦MODEL - BN-S01 🛡️WARRANTY - 1 YEAR  SPECIFICATION 🔓UNLOCK WAYS 😎3D FACE RECOGNITION 👆 FINGERPRINT 💳 RFID CARD 🔢 PASSWORD 📱REMOTE ACCESS (TUYA APP) 🚨BUILT IN ALARM SYSTEM 🎥BUILT - IN CCTV CAMERA 🪙STRONG METALLIC BODY",https://synnex.lk/wp-content/uploads/2026/04/2-7-1.png,https://synnex.lk/product/beldon-bn-s01-3d-face-recognition-smart-door-lock/,"75000.00 LKR",Products,,
10816,"BELDON - BN-D2 Smart Door Access Controller For Glass Door","in stock",New,"The Smart Door Access Controller BN-D2 Synnex IT Solutions is tailored for glass doors, offering both style and high security. It supports multiple unlocking methods—fingerprint, PIN code, and RFID card—for flexible access options. Built with durable materials that won’t impede the transparency or aesthetics of glass surfaces, this lock delivers a clean and modern look. The installation is designed to suit glass doors (without affecting visibility), using strong adhesive or clamps (depending on your model). With power supply and emergency key or USB-power backup, the BN-D2 provides reliability as well as convenience. Perfect for office fronts, glass partitions, or showrooms where visibility and security go hand in hand.    &nbsp;",https://synnex.lk/wp-content/uploads/2026/04/3-10.png,https://synnex.lk/product/beldon-bn-d2-smart-door-access-controller-for-glass-door/,"59000.00 LKR",Products,,
10817,"BIOMETRIC FINGERPRINT TIME ATTENDANCE MACHINE BN-T109A","out of stock",New,"The Biometric Fingerprint Time Attendance Machine BN-T109A Synnex IT Solutions combines accuracy and reliability to streamline attendance management in offices, factories, and institutions. It supports fingerprint verification (with additional modes such as PIN or card where applicable), and stores a significant number of user templates and attendance logs. With features such as USB or network data export, intuitive LCD interface, and robust build quality, the BN-T109A is built for daily use in demanding environments. Installing this device helps reduce errors, prevent buddy punching, and simplify HR record-keeping.",https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2025-10-09-at-12.05.16-1.png,https://synnex.lk/product/biometric-fingerprint-time-attendance-machine-bn-t109a/,"35000.00 LKR",Products,,
10818,"BIOMETRIC FINGERPRINT TIME ATTENDANCE MACHINE BN-T109B","out of stock",New,"The Biometric Fingerprint Time Attendance Machine BN-T109B Synnex IT Solutions is designed to streamline employee tracking with fast and accurate fingerprint recognition. With capacity for  users and storage for up to  attendance logs, this device supports multiple verification modes such as fingerprint, ID card, and password input. Features include a clear LCD screen, USB or network data export, and durable build quality suited for daily, heavy usage. Ideal for offices, factories or schools, the BN-T109B helps reduce time theft and administrative workload while improving attendance accuracy.",https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2025-10-09-at-12.05.16-1.png,https://synnex.lk/product/biometric-fingerprint-time-attendance-machine-bn-t109b/,"32000.00 LKR",Products,,
10819,"ZEBRA Heavy Duty Label Printer ZD-888TA","in stock",New,"The Zebra 4-inch Thermal Transfer Industrial Label Printer ZD888TA is a robust industrial solution designed for high-volume, professional labeling. It supports both direct thermal and thermal transfer modes, with a maximum print width of approximately 104 mm (4.09″) and speeds up to 152 mm/s (6 ips). s-telekom.ru+2docs.zebra.com+2 Built on a reinforced frame with side-loading design and intuitive control, this printer ensures durability and ease of operation. Zebra Technologies+1 Connectivity options include USB, Ethernet, and support for ZPL/EPL command languages. s-telekom.ru+1 Ideal for warehouses, manufacturing, logistics, and high-demand retail environments, the ZD888TA combines power, precision, and reliability in a compact industrial printer.",https://synnex.lk/wp-content/uploads/2026/04/Heavy-Duty_ZD-230-_0-1.jpg,https://synnex.lk/product/zebra-heavy-duty-label-printer-zd-888ta/,"58500.00 LKR",Products,,
10820,"ZEBRA 4 INCH THERMAL TRANSFER INDUSTRIAL LABEL PRINTER ZT230","in stock",New,"The Zebra 4-inch Thermal Transfer Industrial Label Printer ZT230 is a robust, high-performance solution for industrial labeling needs. It supports both direct-thermal and thermal-transfer printing methods, with a printing width up to ~104 mm (4.09″) and speeds up to 152 mm/s (6″/sec). Zebra Technologies+2Accelerator+2 Built with an all-metal frame, this printer is designed for demanding environments. Infokod+2docs.zebra.com+2 Media handling is made easy with side-loading design and intuitive guides. Infokod+2Zebra Technologies+2 Connectivity options include USB, LAN, serial, and parallel interfaces. Accelerator+2Zebra Technologies+2 The ZT230 also features the Link-OS platform for remote management and seamless integration. Infokod+2Zebra Technologies+2 Ideal for manufacturing, shipping, warehousing, retail, and healthcare, this printer delivers reliable label printing at scale.",https://synnex.lk/wp-content/uploads/2026/04/zebra-zt230-1.jpg,https://synnex.lk/product/zebra-4-inch-thermal-transfer-industrial-label-printer-zt230/,"320000.00 LKR",Products,,
10821,"BIXOLON-4-INCH THERMAL TRANSFER LABEL PRINTER XT3-40","in stock",New,"&nbsp;    &nbsp;",https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2025-10-28-at-11.14.13-2-1.jpeg,https://synnex.lk/product/bixolon-4-inch-thermal-transfer-label-printer-xt3-40/,"285000.00 LKR",Products,,
10822,"BELDON –  HANDHELD WIRELESS BARCODE SCANNER BN-BS207R","out of stock",New,"POS - HEAVY DUTY LASER WIRELESS BARCODE READER  🏷️ BRAND: BELDON 🔢 MODEL: BN-BS207R 🛡️ WARRANTY: 1 YEAR  ✨ FEATURES  🧼 WITH DUSTPROOF PROTECTION – BUILT TO LAST EVEN IN TOUGH ENVIRONMENTS.  🔍 DECODES MOST POPULAR BARCODES – COMPATIBLE WITH A WIDE RANGE OF BARCODE FORMATS.  💻 READY FOR ALL POS SYSTEMS – PERFECT FOR RETAIL, SUPERMARKETS, AND WAREHOUSES.  ⚡ PLUG AND PLAY – NO DRIVERS NEEDED, EASY TO OPERATE RIGHT OUT OF THE BOX.  🤲 ERGONOMIC DESIGN – COMFORTABLE TO HOLD, IDEAL FOR LONG HOURS OF SCANNING.  🚀 USING LATEST DECODER TECHNOLOGY – PROVIDES QUICK, FLUENT, AND ACCURATE SCANNING PERFORMANCE.  💡🔊 GREEN LED INDICATOR &amp; LOUD BUZZER SOUND – INSTANT FEEDBACK FOR SUCCESSFUL SCANS.",https://synnex.lk/wp-content/uploads/2026/04/WhatsApp-Image-2024-04-03-at-11.13.45_b4f63462-3.jpg,https://synnex.lk/product/beldon-handheld-wireless-barcode-scanner-bn-bs207r/,"15000.00 LKR",Products,,
10823,"POSMAX PM-CRP-909-DUAL TOUCH POS Machine","out of stock",New,"I5 POS MACHINE WITH DUAL TOUCH DISPLAY   	BRAND - POSMAX  	MODEL - PM-CRP-909-DUAL TOUCH  	WARRANTY - 1 YEAR  FEATURES:   	CORE I5 PROCCESSOR  	8 GB RAM  	256 GB SSD HARD DISK  	15.6 INCH CAPACITIVE TOUCH DISPLAY  	11.6 INCH TOUCH CUSTOMER DISPLAY  	WIFI",https://synnex.lk/wp-content/uploads/2026/04/2-1-3.png,https://synnex.lk/product/posmax-pm-crp-909-dual-touch-pos-machine/,"190000.00 LKR",Products,,
10838,"POSMAX PM-CRP-909-I7-DT i7 10th gen POS Machine","out of stock",New,"i7 POS MACHINE WITH DUAL TOUCH DISPLAY  BRAND: POSMAX MODEL: PM-CRP-909-I7-DT WARRANTY: 1 YEAR   	FEATURES &amp; ADVANTAGES:  	CORE i7 10th Gen PROCESSOR  – SUPER-FAST &amp; SMOOTH PERFORMANCE  	8 GB RAM  – SEAMLESS MULTITASKING  	256 GB SSD  – QUICK STARTUP &amp; DATA ACCESS  	15.6″ MAIN TOUCH DISPLAY  – CLEAR &amp; EASY OPERATION  	11.6″ CUSTOMER DISPLAY  – ENHANCED CUSTOMER EXPERIENCE  	WIFI  𝘼𝙩 𝙎𝙮𝙣𝙣𝙚𝙭 𝙄𝙏, 𝙤𝙪𝙧 𝙨𝙪𝙥𝙥𝙤𝙧𝙩 𝙘𝙤𝙣𝙩𝙞𝙣𝙪𝙚𝙨 𝙗𝙚𝙮𝙤𝙣𝙙 𝙮𝙤𝙪𝙧 𝙥𝙪𝙧𝙘𝙝𝙖𝙨𝙚 — 𝙤𝙪𝙧 𝙚𝙭𝙥𝙚𝙧𝙩 𝙩𝙚𝙖𝙢 𝙞𝙨 𝙖𝙡𝙬𝙖𝙮𝙨 𝙧𝙚𝙖𝙙𝙮 𝙩𝙤 𝙝𝙚𝙡𝙥, 𝙚𝙫𝙚𝙣 𝙖𝙛𝙩𝙚𝙧 𝙬𝙖𝙧𝙧𝙖𝙣𝙩𝙮",https://synnex.lk/wp-content/uploads/2026/04/PM-CRP-909-DUAL_0003_.jpg-1.jpeg,https://synnex.lk/product/posmax-pm-crp-909-i7-dt-i7-10th-gen-pos-machine/,"295000.00 LKR",Products,,
10839,"POSMAX PM-CRP-909-256 POS Machine","out of stock",New,"POS - i5 TOUCH POS MACHINE  BRAND - POSMAX  MODEL - PM-CRP-909-256  WARRANTY - 1 YEAR  FEATURES:  CORE I5 PROCCESSOR  4TH GEN  8 GB RAM  256 GB SSD HARD DISK  15.6 INCH CAPACITIVE TOUCH DISPLAY  WIFI  &nbsp;",https://synnex.lk/wp-content/uploads/2026/04/Gemini_Generated_Image_jylvjwjylvjwjylv-1.png,https://synnex.lk/product/posmax-pm-crp-909-256-pos-machine/,"130000.00 LKR",Products,,
10840,"POSMAX-PM-I7-4GN-SINGLE i7 Touch POS Machine","in stock",New,"i7 SINGLE TOUCH POS MACHINE   	BRAND - POSMAX  	MODEL - PM-I7-4GN-SINGLE  	WARRANTY - 1 YEAR  FEATURES:   	CORE i7 PROCCESSOR  	4TH GEN  	8 GB RAM  	256 GB SSD HARD DISK  	15.6 INCH CAPACITIVE TOUCH DISPLAY  	WIFI",https://synnex.lk/wp-content/uploads/2026/04/Gemini_Generated_Image_71h1wh71h1wh71h1-1.png,https://synnex.lk/product/posmax-pm-i7-4gn-single-i7-touch-pos-machine/,"145000.00 LKR",Products,,
10841,"POSMAX PM-BC091 BASIC CASH COUNTING MACHINE","in stock",New,"BRAND – POSMAX  	MODEL – PM-BC091  	WARRANTY – 1 YEAR    	AUTOMATIC START, STOP AND CLEAR  	WITH UV,MG,IR,DD DETECTION WHILE COUNTING  	AUTOMATIC HALF NOTE, CHAIN NOTE, DOUBLE NOTE DETECTION  	WITH BATCH, ADD AND SELF EXAMINATION FUNCTION  	LCD COLOR CHANGE TO RED WHEN DETECT FAKE NOTE  	WITH TOTAL VALUE CALCULATING FUNCTION (OPTIONAL)  	SOFTWARE CAN BE UPGRADED THROUGH RS-232 PORT",https://synnex.lk/wp-content/uploads/2026/04/BC091-w2-1.png,https://synnex.lk/product/posmax-pm-bc091-basic-cash-counting-machine/,"38500.00 LKR",Products,,
10842,"Multi - Functional Handheld Expire Date Printer","in stock",New,"🔥 Multi-Functional Handheld Inkjet Printer 🔥✨ Print Anywhere. Anytime. On Anything! ✨ 🌟 Key Features:🖐️ Handheld &amp; Portable – Easy to use, lightweight design🔄 Curved &amp; Flat Surface Printing – Bottles, boxes, pipes &amp; more📅 Date &amp; Time Printing📦 Product Details &amp; Batch Codes📲 QR Codes &amp; Barcodes🔤 Custom Text &amp; Multiple Fonts 🎨 Multi-Color Ink Support:🔴 Red | 🟡 Yellow | 🔵 Blue | 🟢 Green | ⚫ Black | ⚪ White 💧 Waterproof Printing – Long-lasting &amp; durable🍾 Alcohol Erasable Ink – Clean &amp; reprint when needed 🏭 Perfect for:✔ Manufacturing✔ Food &amp; Beverage✔ Cosmetics✔ Warehouses✔ Small Businesses &amp; Factories",https://synnex.lk/wp-content/uploads/2026/04/Untitled-design-2025-12-17T134612.890-1.png,https://synnex.lk/product/multi-functional-handheld-expire-date-printer/,"75000.00 LKR",Products,,
